seg mar 18 16:27:57 -03 2019
Sample data file lininput_xeon64.

Current date/time: Mon Mar 18 16:27:57 2019

CPU frequency:    2.992 GHz
Number of CPUs: 1
Number of cores: 2
Number of threads: 2

Parameters are set to:

Number of tests: 15
Number of equations to solve (problem size) : 1000  2000  5000  10000 15000 18000 20000 22000 25000 26000 27000 30000 35000 40000 45000
Leading dimension of array                  : 1000  2000  5008  10000 15000 18008 20016 22008 25000 26000 27000 30000 35000 40000 45000
Number of trials to run                     : 4     2     2     2     2     2     2     2     2     2     1     1     1     1     1    
Data alignment value (in Kbytes)            : 4     4     4     4     4     4     4     4     4     4     4     1     1     1     1    

Maximum memory requested that can be used=16200901024, at the size=45000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   4      0.020      32.8518  9.394430e-13 3.203742e-02   pass
1000   1000   4      0.018      37.6208  9.394430e-13 3.203742e-02   pass
1000   1000   4      0.018      36.6676  9.394430e-13 3.203742e-02   pass
1000   1000   4      0.018      37.8401  9.394430e-13 3.203742e-02   pass
2000   2000   4      0.096      55.3972  4.085732e-12 3.554086e-02   pass
2000   2000   4      0.177      30.1359  4.085732e-12 3.554086e-02   pass
5000   5008   4      1.424      58.5355  2.262585e-11 3.154992e-02   pass
5000   5008   4      1.458      57.1945  2.262585e-11 3.154992e-02   pass
10000  10000  4      10.983     60.7188  9.187981e-11 3.239775e-02   pass
10000  10000  4      11.217     59.4495  9.187981e-11 3.239775e-02   pass
15000  15000  4      38.280     58.7888  2.219450e-10 3.495671e-02   pass
15000  15000  4      39.002     57.7002  2.219450e-10 3.495671e-02   pass
18000  18008  4      67.712     57.4296  2.886628e-10 3.161212e-02   pass
18000  18008  4      67.994     57.1915  2.886628e-10 3.161212e-02   pass
20000  20016  4      92.905     57.4146  3.669736e-10 3.248520e-02   pass
20000  20016  4      92.910     57.4121  3.669736e-10 3.248520e-02   pass
22000  22008  4      124.098    57.2100  3.996415e-10 2.927217e-02   pass
22000  22008  4      124.076    57.2199  3.996415e-10 2.927217e-02   pass
25000  25000  4      180.704    57.6519  5.449834e-10 3.099126e-02   pass
25000  25000  4      180.889    57.5928  5.449834e-10 3.099126e-02   pass
26000  26000  4      202.808    57.7821  5.990065e-10 3.149756e-02   pass
26000  26000  4      202.599    57.8419  5.990065e-10 3.149756e-02   pass
27000  27000  4      226.750    57.8763  5.851573e-10 2.853524e-02   pass
30000  30000  1      311.087    57.8674  7.552393e-10 2.977161e-02   pass

